Year,Month,Settlement,Observed_quantity_cassava,Observed_price_cassava,Observed_quantity_dodo,Observed_price_dodo,Observed_quantity_fish,Observed_price_fish,Observed_quantity_firewood,Observed_price_firewood,Observed_quantity_charcoal,Observed_price_charcoal
2019,October,Kyangwali,2.49,1000,0.38,500,0.11,1500,,,,
2019,October,Kyangwali,2.45,1000,0.29,500,0.35,8000,,,,
2019,October,Kyangwali,2.96,1000,0.23,500,0.22,3000,,,,
2019,October,Kyaka II,1.4,1000,,,0.8,5000,,,0.7,1000
2019,October,Kyaka II,1.4,1000,,,0.5,5000,,,1.2,1000
2019,October,Kyangwali,2.45,1000,0.29,500,0.35,8000,5.05,1000,0.84,1000
2019,October,Kyangwali,2.96,1000,0.23,500,0.22,3000,5.05,1000,0.84,1000
2019,October,Kyangwali,2.49,1000,0.38,500,0.11,1500,7.1,1000,0.84,1000
2019,October,Palabek,0,0,0.6,1000,0,0,0,0,1.6,1000
2019,October,Palabek,3.3,1000,0.9,1000,0,0,14.2,2000,1.6,1000
2019,October,Palabek,3.4,1000,0.7,1000,0,5000,0,0,0.3,1000
2019,October,Palorinya,3,1000,0.8,600,0.5,10000,15.5,2000,1.4,1000
2019,October,Palorinya,3.2,1000,0.7,600,0.4,8000,16,2000,1.5,1000
2019,October,Palorinya,2.2,1000,0.6,500,0.4,5000,0,0,1.8,1000
2019,October,Adjumani,1.8,1000,0.5,2000,0.4,14000,16,5000,8.2,6000
2019,October,Adjumani,1.6,1000,0.6,3000,0.4,15000,18,5000,8.1,6000
2019,October,Adjumani,1.3,1000,0.6,3000,0.35,12000,18,5000,8.2,7000
2019,October,Bidibidi,2.9,1000,1.4,1000,0.3,1000,0,0,2.1,500
2019,October,Bidibidi,2.1,1000,1.2,800,0.2,5000,6,1000,1.8,500
2019,October,Bidibidi,0,0,1,1000,0.1,3000,0,0,2.1,500
2019,October,Imvepi,,,1.2,1000,,,,,3.1,1000
2019,October,Imvepi,,,0.83,1000,0.306,5000,,,,1000
2019,October,Imvepi,,,1.84,1000,0.281,5000,,,2.1,1000
2019,October,Koboko/Lobule,1.8,1000,1.5,1000,0.2,5000,11,2000,1.7,1000
2019,October,Koboko/Lobule,1.6,1000,1.7,1000,0.1,5000,10,2000,1.6,1000
2019,October,Koboko/Lobule,0,0,2.7,1000,0.2,5000,17.9,2000,2,1000
2019,November,Rwamwanja,1.7,1000,0.2,500,0.7,10000,,,,
2019,November,Kyaka II,,,,,,,,,,
2019,November,Kyaka II,,,,,,,,,,
2019,November,Kyangwali,5,300,1,500,1,10000,,,,
2019,November,Kyangwali,1,500,1,2000,1,7500,,,,
2019,November,Kyangwali,1,500,1,500,1,10000,,,,
2019,October,Oruchinga,1,2000,0,0,0,0,12,1000,100,1000
2019,November,Bidibidi,0,0,1,600,0.1,2000,,,,
2019,November,Bidibidi,0,0,1,600,0.4,5000,,,,
2019,November,Bidibidi,0,0,0.9,600,0.11,3000,,,,
2019,November,Bidibidi,2.5,1000,1.1,800,0.22,5000,,,,
2019,October,Arua/Rhino Camp,3.1,1000,1,400,0.3,4400,1000,7,2,1000
2019,October,Arua/Rhino Camp,3.5,2000,1.2,1000,0.2,5000,8.1,1000,1.6,1000
2019,October,Arua/Rhino Camp,2.8,1000,0.7,400,0,0,7.8,1000,1.8,1000
2019,November,Koboko/Lobule,1.5,1000,1.3,1000,0.4,7000,,,,
2019,November,Koboko/Lobule,1.5,1000,1.3,1000,0.3,5500,,,,
2019,November,Koboko/Lobule,1.4,1000,1.5,1000,0.3,5000,,,,
2019,November,Kyaka II,,,,,,,,,,
2019,November,Imvepi,,,0.6,400,,,,,,
2019,November,Imvepi,,,1.3,1000,,5000,,,,
2019,November,Imvepi,,,1.1,800,,5000,,,,
2019,July,Palabek,1.6,1000,0.6,1000,0.3,6000,,,,
2019,November,Palabek,1.6,1000,0.6,1000,0,0,,,,
2019,November,Palabek,0.7,1000,0.5,1000,0.1,4000,,,,
2019,November,Adjumani,1.2,1000,0.35,3000,0.4,16000,,,,
2019,October,Adjumani,1.7,1000,0.5,3000,0.4,12000,0,0,0,0
2019,November,Adjumani,1.4,1000,0.33,3000,0.4,17000,,,,
2019,November,Bidibidi,1,1000,0.9,600,0.2,6000,,,,
2019,November,Bidibidi,1.9,1200,0.8,600,0.4,5500,,,,
2019,November,Bidibidi,1.8,1000,0.8,800,0.2,5000,,,,
2019,November,Bidibidi,0,0,0.6,500,0,0,,,,
2019,November,Arua/Rhino Camp,3.5,1000,1.2,400,0.4,5000,,,,
2019,November,Arua/Rhino Camp,0,0,1,800,0,0,,,,
2019,November,Arua/Rhino Camp,2,1000,0.9,800,0.4,6500,,,,
2019,November,Rwamwanja,,,,,,,,,,
2019,November,Imvepi,2,2000,0.9,1000,1,8000,,,,
2019,November,Kiryandongo,2,1000,1,1400,1,16000,,,,
2019,November,Adjumani,1.8,1000,0.6,2000,0.35,13000,,,,
2019,November,Adjumani,1.6,1000,0.5,2000,0.4,14000,,,,
2019,November,Adjumani,2.1,1000,0.6,2000,0.35,12000,,,,
2019,November,Bidibidi,2.3,1000,1.1,800,0.09,2000,,,,
2019,November,Bidibidi,2.1,1000,0.9,700,0.2,5000,,,,
2019,November,Bidibidi,2.6,1000,0.7,600,0,0,,,,
2019,November,Bidibidi,2.1,1000,0.8,800,0.25,5000,,,,
