Year,Month,Week,Day,Settlement,Market,maize_grain_price,Maize_flour_price,Millet_flour_price,Beans_price,Sorghum_price,Veg_oil_price,Cassava_price,Salt_price,Vegetable_price,Fish_price,Milk_price,Observed_price_soap,Observed_price_pads,Observed_price_r_pads,Observed_price_torch,Observed_price_pen,Observed_price_pencil,Observed_price_exercise_book,Observed_price_counter_book,Observed_quantity_firewood,Observed_price_firewood,Observed_quantity_charcoal,Observed_price_charcoal,Observed_price_dry_cells,Observed_price_big_jerrycan,Observed_price_small_jerrycan,Observed_price_basin,Observed_price_blanket,Observed_price_sauce_pan,Observed_price_plastic_plate,Observed_price_serving_spoon,Observed_price_plastic_mug,Observed_price_wooden_mingle,Observed_price_panga,Observed_price_hoe,Observed_price_nails,Observed_price_rope,Observed_price_pole,Observed_price_brick,Observed_price_b_brick,Observed_price_grass_thatch
2020,March,First Week,Monday,Bidibidi,Lodenga,833.3333333,,3333.333333,,909.0909091,5000,416.6666667,1400,3333.333333,16666.66667,1000,2000,3000,0,1000,500,200,500,2500,3,2000,1.5,1000,,,,,,,,,,,,,,,,,,
2020,March,First Week,Monday,Bidibidi,Reception,714.2857143,,5000,,909.0909091,5000,400,1400,3333.333333,16666.66667,1000,2000,0,0,1000,500,200,500,0,3,2000,1.5,1000,,,,,,,,,,,,,,,,,,
2020,March,First Week,Monday,Bidibidi,Koro,833.3333333,2857.142857,5000,,909.0909091,5000,434.7826087,1400,2500,12500,1000,2000,0,0,1000,500,200,500,2500,3,2000,1.5,1000,,,,,,,,,,,,,,,,,,
2020,March,First Week,Monday,Bidibidi,Yumbe-main,833.3333333,3333.333333,3333.333333,3333.333333,909.0909091,6000,,1400,3333.333333,16666.66667,1000,2000,3000,0,1000,500,200,500,3000,3,2000,1.8,1000,,,,,,,,,,,,,,,,,,
2020,March,First Week,Tuesday,Kyaka II,Byabakora,900,2000,3000,,,5000,666.6666667,1600,,,1000,3900,3000,,1000,500,200,800,3500,,,0.9,1000,,,,,,,,,,,,,,,,,,
2020,March,First Week,Wednesday,Kyaka II,Bukere,900,2000,3000,3000,2000,5000,666.6666667,1400,833.3333333,25000,1000,,3000,,1000,500,200,,3500,,,0.5,500,,,,,,,,,,,,,,,,,,
2020,March,First Week,Tuesday,Kyangwali,Kagoma,750,1250,3000,2800,1000,6000,450,1600,1700,18000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,March,First Week,Wednesday,Kyangwali,Maratatu,600,3000,4400,3000,1200,6000,400,2000,1750,17000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,March,First Week,Wednesday,Kyangwali,Kasonga,750,2400,3600,3000,1200,6000,450,1600,1800,19000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,March,Second Week,Tuesday,Rwamwanja,Katalyeba,850,2000,2500,3500,1600,5000,500,1600,1250,23333.33333,1000,3000,3000,,1000,500,200,500,3500,,,1.3,1000,,,,,,,,,,,,,,,,,,
2020,March,Second Week,Tuesday,Kyangwali,Kagoma,600,2000,3000,3000,1400,6000,450,2000,1700,20000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,March,Second Week,Wednesday,Kyangwali,Kasonga,600,2400,3600,3000,1600,6000,450,1600,1800,19000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,March,Second Week,Wednesday,Kyangwali,Maratatu,600,2800,4400,3000,1400,6000,350,2000,1750,18000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,March,Second Week,Friday,Bidibidi,Lodenga,909.0909091,3333.333333,5000,,1000,5000,400,1400,3333.333333,,1000,2000,0,0,1000,500,200,500,0,5,2000,2,1000,,,,,,,,,,,,,,,,,,
2020,March,Second Week,Friday,Bidibidi,Reception,1000,,3333.333333,,909.0909091,5000,416.6666667,1400,2500,16666.66667,1000,2000,3000,0,1500,500,200,500,0,4,2000,1.5,1000,,,,,,,,,,,,,,,,,,
2020,March,Second Week,Friday,Bidibidi,Koro ,1111.111111,3333.333333,3333.333333,,909.0909091,5000,384.6153846,1400,2500,16666.66667,1000,2000,3000,0,1000,500,200,500,2000,4,2000,1.7,1000,,,,,,,,,,,,,,,,,,
2020,March,Second Week,Friday,Bidibidi,Yumbe-main,1111.111111,3333.333333,3333.333333,3333.333333,909.0909091,6000,434.7826087,1400,3333.333333,16666.66667,1000,2000,3000,0,1500,500,200,500,2000,3,2000,1,1000,,,,,,,,,,,,,,,,,,
2020,March,First Week,Wednesday,Palorinya,Konyokonyo Market,1428.571429,1666.666667,3333.333333,2000,833.3333333,5000,588.2352941,1800,3333.333333,12500,2000,2000,3000,2500,1000,500,200,300,2500,,3000,,6000,,,,,,,,,,,,,,,,,,
2020,March,First Week,Wednesday,Palorinya,Konyokonyo Market,1428.571429,1666.666667,4000,2000,909.0909091,4687.5,588.2352941,1800,2857.142857,11111.11111,2000,2000,3000,2500,1000,500,200,300,2500,,3000,,6000,,,,,,,,,,,,,,,,,,
2020,March,First Week,Wednesday,Palorinya,Moyo main market,1250,1428.571429,3333.333333,2500,1000,6000,588.2352941,2000,2500,11111.11111,2000,2000,3000,2500,1000,500,200,500,3000,,5000,,6000,,,,,,,,,,,,,,,,,,
2020,March,Third Week,Monday,Kiryandongo,Bweyale,909.0909091,1250,3333.333333,3333.333333,1000,6000,454.5454545,1400,2000,15000,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,March,Third Week,Wednesday,Kiryandongo,Bweyale ,1100,1200,4000,3333.333333,1200,6000,434.7826087,1400,3333.333333,20000,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,March,Second Week,Wednesday,Kiryandongo,Bweyale,1200,2500,4000,4000,1200,6000,384.6153846,1400,3333.333333,20000,1600,4000,3500,4000,1500,500,150,500,3500,,,,,,,,,,,,,,,,,,,,,,
2020,March,Third Week,Thursday,Bidibidi,Lodenga ,1111.111111,3333.333333,5000,,909.0909091,5000,434.7826087,1400,3333.333333,16666.66667,1000,2000,3000,0,1000,500,200,500,0,3,2000,1.2,1000,,,,,,,,,,,,,,,,,,
2020,March,Third Week,Thursday,Bidibidi,Reception ,1052.631579,3030.30303,5000,,909.0909091,5000,416.6666667,1400,3333.333333,16666.66667,1000,2000,3000,0,1000,500,200,500,2500,3.5,2000,1,1000,,,,,,,,,,,,,,,,,,
2020,March,Third Week,Thursday,Bidibidi,Koro,1111.111111,,5000,,833.3333333,5000,454.5454545,1400,3333.333333,16666.66667,1000,2000,3000,0,1000,500,200,500,2500,3,2000,1.3,1000,,,,,,,,,,,,,,,,,,
2020,March,Third Week,Thursday,Bidibidi,Yumbe-main ,1000,3333.333333,3333.333333,3333.333333,909.0909091,6000,476.1904762,1400,3333.333333,16666.66667,1000,2000,3000,2000,1500,500,200,500,2500,4,2000,1.2,1000,,,,,,,,,,,,,,,,,,
2020,March,Fourth Week,Wednesday,Rwamwanja,Katalyeba ,1000,2000,2000,3000,1700,6250,666.6666667,4000,1666.666667,17500,1000,3000,3000,,1000,500,200,500,3500,,,1.4,1000,,,,,,,,,,,,,,,,,,
2020,March,Fourth Week,Thursday,Oruchinga,Kajaho,800,1800,4000,2545.454545,1500,6000,769.2307692,1600,1428.571429,23214.28571,1000,2500,3000,7000,1000,500,200,700,4000,,,1.8,2000,,,,,,,,,,,,,,,,,,
2020,March,Fourth Week,Thursday,Oruchinga,Kajaho,800,2000,4000,2800,1300,6000,833.3333333,2000,1538.461538,20000,1000,2500,3000,7000,1000,500,200,700,4000,,,2.2,2000,,,,,,,,,,,,,,,,,,
2020,March,Fourth Week,Thursday,Oruchinga,Kajaho,800,2000,4000,3000,1666.666667,6000,800,2000,1333.333333,20000,1000,2500,3000,7000,1000,500,200,800,4000,,,1.8,2000,,,,,,,,,,,,,,,,,,
2020,March,Fourth Week,Thursday,Palorinya,Konyokonyo,1000,1111.111111,3333.333333,1428.571429,1000,5000,666.6666667,4000,5000,10000,0,2000,3000,0,1000,500,100,300,5000,4,2000,1,5000,,,,,,,,,,,,,,,,,,
2020,March,Fourth Week,Thursday,Bidibidi,Lodenga,1111.111111,3333.333333,5000,,1000,6000,434.7826087,6000,3333.333333,16666.66667,1000,2000,3000,0,1000,500,200,500,2500,3,1000,1.2,1000,,,,,,,,,,,,,,,,,,
