uuid;Spotted_by;change_type;indicator;Current_value;new_value_1;new_value_2;new_value_3;issue
6282f1c9-97c2-4aa8-867a-7ed7513d69f1;mathias;change_response;safety_reason;Fear harassment from the police from Arua.;Discretionary behaviour of security personnel;;;
0f9ad82d-90a4-46be-83c9-4083042e3fce;mathias;change_response;safety_reason;Attempted theft;Fear of theft ;;;
6c124176-71fd-44e3-a3e7-109394decc0b;mathias;change_response;safety_reason;Incase they have opened Corona may increase;Health risks in relation to COVID-19;;;
a29f6a6e-923c-49dd-bf9f-adba7f84f547;mathias;change_response;safety_reason;Thefts have increased due to reduction in economic activity engagement by youths;Fear of theft ;Some people stopped working and may pose a big threat to our merchandise;;
f3b609d6-7117-4120-a8f5-ac332dd244ae;mathias;change_response;safety_reason;Fear of covid-19;Fear of contracting COVID-19;; ;
c20c4383-9b48-4fe2-a5c6-2afb293786a9;mathias;change_response;safety_reason;Not secure bse people drink alcohol and they bring visit.;Non-compliance with official rules and regulations;;;
8814dbad-c5fe-4bc6-bec5-6ae49d8bc8bc;mathias;change_response;safety_reason;Thief's disturb them at night and to the chair located far.;Fear of theft ;;;
8f889329cc3044feb25dccb38267e91b;mathias;change_response;safety_reason;Fear of contracting disease;Fear of contracting COVID-19;;;
2cd4bcd09b974435821ad71f8c2c793b;mathias;change_response;safety_reason;Fear of disease;Fear of contracting COVID-19;;;
a8108a2010b34f9abd8e0b24882a4aef;mathias;change_response;safety_reason;Congestion in the market;Non-compliance with official rules and regulations;;;
8257a65ba70841fab499b9b017bdae93;mathias;change_response;safety_reason;Theft and fear of COVID 19;Fear of theft ;Fear of contracting COVID-19;;
3167f697c4064085a96752920c62b3c2;mathias;change_response;safety_reason;Thieft;Fear of theft ;;;
d9f03642e9164004b9c5eafc24e90d0d;mathias;change_response;safety_reason;Fear of disease;Fear of contracting COVID-19;;;
328bf604152f4005b21d25f69a7540d6;mathias;change_response;safety_reason;Thieft and COvid threat;Fear of theft ;Health risks in relation to COVID-19;;
c24f0ade-026b-4dc3-b3b1-e15affe7e2bb;mathias;change_response;safety_reason;Thieves have increased due to lack of what to eat and being idle;Fear of theft ;;;
34be85cd-1245-453c-933c-289698ca1144;mathias;change_response;safety_reason;Many people are not working and yet things are expensive thus ending up becoming thieves;Some people stopped working and may pose a big threat to our merchandise;Fear of theft ;;
4be3e8ba-c96b-492e-8527-5a090feaddfe;mathias;change_response;safety_reason;We were told we have suspects of coving,  crowding at my shop since am the whole sale, police closing us up with terrible means since they eat only food, suppliers delivery challenges, scarcity of some items like beans, customers who leave far lack ways of coming here, prices are unstable changing affecting profits, customers not abiding by MOH rules,no rice and beans affected by season and cross border trade restriction ;Corona-infected individuals in the area;Discretionary behaviour of security personnel;;
ccc151cf-f7a6-4545-afab-50bd47d0d402;mathias;change_response;safety_reason;Some people don't wash hands while entering the market.;Non-compliance with official rules and regulations;;;
e9d1589a-b853-4e72-a17f-fcd433a38d9a;mathias;change_response;safety_reason;Some people do not wash hands mostly children when entering the market  and no enough space for people yet Corona is scaring.;Non-compliance with official rules and regulations;;;
3e16d3fd-aa22-4085-bc66-b5b42dbc8cd2;mathias;change_response;safety_reason;People are still mixing up in groups;Non-compliance with official rules and regulations;;;
586985719e2b46f2b1a62257a4b7f324;mathias;change_response;safety_reason;Fear of contracting corona;Fear of contracting COVID-19;;;
350029a9-2d30-455b-937e-cb917ed155bb;mathias;change_response;safety_reason;People follow up the SOPs very well;Increased awareness about health risks and appropriate behaviour;;;
75a49495-c756-498f-9f36-6fd40e756297;mathias;change_response;safety_reason;We are regularly patrolled by the police;Increased presence of security personnel;;;
48371976-85bb-45da-8b62-09e85d24645d;mathias;change_response;safety_reason;People trying to follow the guidelines set by the market management about corona virus.;Increased awareness about health risks and appropriate behaviour;;;
2b3216b2-ba10-4bb7-aa70-b1adb38e1950;mathias;change_response;safety_reason;Presence of police patrols at night;Increased presence of security personnel;;;
8ea512ba-4c34-4453-a2a6-8df4701974dc;mathias;change_response;safety_reason;Because soilders are taking security serious;Implementation of rules and regulations;;;
4e607413-d098-43c7-a765-f5bc8ff6db21;mathias;change_response;safety_reason;Presence of police around the market especially at night;Increased presence of security personnel;;;
fa6fb9e1-5cba-47fe-a062-5a6f786815a1;mathias;change_response;safety_reason;Washing hands;Increased awareness about health risks and appropriate behaviour;;;
292f0ee0-eed0-4134-be05-444849c5e62c;mathias;change_response;safety_reason;There is point for washing hands;Increased awareness about health risks and appropriate behaviour;;;
64855067-12f6-40bd-8c37-f5881f4ae9f5;mathias;change_response;safety_reason;Movements have reduced;Implementation of rules and regulations;;;
4c75122a-ae0b-45b7-b285-a0eff17157f7;mathias;change_response;safety_reason;Theft cases have reduced due to constant presence of security operatives;No theft;Increased presence of security personnel;;
1313c4fd-680c-4d44-97ca-c912555d0a92;mathias;change_response;safety_reason;Increased presence of security officials;Increased presence of security personnel;;;
925049ec-5c99-4952-af18-4b1c5723cf4c;mathias;change_response;safety_reason;Availability of soldiers around the center;Increased presence of security personnel;;;
c3a8c5df-4199-4dd7-baab-24acfa9765b1;mathias;change_response;safety_reason;Sleeping well, working well and walking freely with in the market and outside.;n/a;;;
9359b4ea-df90-4578-9832-aeebfbc24f6c;mathias;change_response;safety_reason;Because am working  freely and no theft issues;No theft;;;
3aabd1cc2ab04737b4d8e1368dbe1355;mathias;change_response;safety_reason;"Increased knowledge of corona
";Increased awareness about health risks and appropriate behaviour;;;
3ccd5d0f-5da3-4ea2-99b7-7cc553ce1140;mathias;change_response;safety_reason;The market was closed at 6pm by the police;Introduction of an evening curfew;;;
