OBJECTID,NAME,DISTRICT,NAME0,TYPE,Longitude,Latitude
1,Uganda,Adjumani,Alere,Refugee settlement,31.74726500000,3.45801700000
2,Uganda,Adjumani,Ayilo I,Refugee settlement,31.93472200000,3.29611100000
3,Uganda,Adjumani,Ayilo II,Refugee settlement,31.96233300000,3.25660000000
4,Uganda,Adjumani,Baratuku,Refugee settlement,31.88388300000,3.47638100000
5,Uganda,Yumbe,Bidibidi,Refugee settlement,31.38651654320,3.44085821996
6,Uganda,Yumbe,Bidibidi RC,Reception centre,31.37106900000,3.47943600000
7,Uganda,Adjumani,Boroli I,Refugee settlement,31.86638900000,3.29944400000
8,Uganda,Bundibugyo,Bubukwanga TC,Refugee transit centre,30.06230600000,0.76827800000
9,Uganda,Adjumani,Elegu CP,Collection point,32.07000000000,3.56747000000
10,Uganda,Adjumani,Elema,Refugee settlement,31.90979700000,3.47924500000
11,Uganda,Arua,Imvepi RC,Reception centre,31.27712900000,3.25313500000
12,Uganda,Kampala,Kampala,Refugee urban location,32.57437429520,0.32035558169
13,Uganda,Moyo,Kerwa,Collection point,31.25643400000,3.74874500000
14,Uganda,Kiryandongo,Kiryandongo,Refugee settlement,32.06513800000,1.89279300000
15,Uganda,Kiryandongo,Kiryandongo RC,Refugee transit centre,32.16147800000,1.93835800000
16,Uganda,Arua,Kuluba CP,Collection point,30.93260600000,3.50660600000
17,Uganda,Kyegegwa,Kyaka II,Refugee settlement,31.08131100000,0.35799900000
18,Uganda,Hoima,Kyangwali,Refugee settlement,30.81269500000,1.21113600000
19,Uganda,Moyo,Laufori,Collection point,31.59693000000,3.59200000000
20,Uganda,Koboko,Lobule,Refugee settlement,31.03333300000,3.40000000000
21,Uganda,Adjumani,Maaji I,Refugee settlement,31.63271400000,3.25499600000
22,Uganda,Adjumani,Maaji III,Refugee settlement,31.66274600000,3.19758100000
23,Uganda,Adjumani,Maaji II,Refugee settlement,31.65800800000,3.16947800000
24,Uganda,Lamwo,Madi Opei,Collection point,33.12922900000,3.69100500000
25,Uganda,Rukungiri,Matanda,Refugee transit centre,29.74452800000,-0.65116700000
26,Uganda,Yumbe,Menzere,Collection point,31.18809500000,3.70701300000
27,Uganda,Moyo,Metu,Collection point,31.78650000000,3.67100000000
28,Uganda,Adjumani,Mirieyi,Refugee settlement,31.78034100000,3.33776300000
29,Uganda,Moyo,Moyo,Dispersed refugee location,31.72077400000,3.65319900000
30,Uganda,Adjumani,Mungula I,Refugee settlement,31.78815000000,3.19297700000
31,Uganda,Adjumani,Mungula II,Refugee settlement,31.81571200000,3.15792000000
32,Uganda,Isingiro,Nakivale,Refugee settlement,30.94944400000,-0.77638900000
33,Uganda,Lamwo,Ngomoromo,Collection point,32.57723586020,3.69606469172
34,Uganda,Kisoro,Nyakabande TC,Refugee transit centre,29.73333400000,-1.28333300000
35,Uganda,Adjumani,Nyumanzi,Refugee settlement,31.94694400000,3.45666700000
36,Uganda,Adjumani,Nyumanzi TC,Refugee transit centre,31.95145800000,3.43846100000
37,Uganda,Arua,Ocea RC,Refugee transit centre,31.28212200000,3.07292800000
38,Uganda,Adjumani,Oliji,Refugee settlement,31.72482200000,3.47012500000
39,Uganda,Adjumani,Olua II,Refugee settlement,31.88762600000,3.24991100000
40,Uganda,Adjumani,Olua I,Refugee settlement,31.88424400000,3.26494500000
41,Uganda,Isingiro,Oruchinga,Refugee settlement,30.63727400000,-0.96115900000
42,Uganda,Adjumani,Pagirinya,Refugee settlement,32.00925000000,3.37900000000
43,Uganda,Adjumani,Pagirinya RC1,Reception centre,32.00300000000,3.36978000000
44,Uganda,Adjumani,Pagrinya RC2,Reception centre,32.01400000000,3.38983000000
45,Uganda,Moyo,Palorinya,Refugee settlement,31.65974200000,3.50881500000
46,Uganda,Moyo,Palorinya RC,Reception centre,31.66109100000,3.50694600000
47,Uganda,Arua,Rhino,Refugee settlement,31.35334500000,2.96511100000
48,Uganda,Kamwenge,Rwamwanja,Refugee settlement,30.63079900000,0.32172200000
49,Uganda,Lamwo,Waligo,Collection point,32.36545816430,3.60477247499
50,Uganda,Arua,Imvepi,Refugee settlement,31.28612293170,3.25808100836
51,Uganda,Lamwo,Palabek,Refugee settlement,32.41300000000,3.36500000000
52,Uganda,Adjumani,Agojo,Refugee settlement,31.74600000000,3.41086100000
53,Uganda,Adjumani,Dzaipi,Refugee transit centre,31.95500000000,3.39212200000
54,Uganda,Lamwo,Aweno-Olwiyo,Collection point,32.75210600000,3.73551200000
