"","settlement","Date","SD_Observed_quantity_cassava","SD_Observed_price_cassava","SD_Observed_quantity_dodo","SD_Observed_price_dodo","SD_Observed_quantity_fish","SD_Observed_price_fish","SD_Observed_quantity_firewood","SD_Observed_price_firewood","SD_Observed_quantity_charcoal","SD_Observed_price_charcoal","Mean_Observed_quantity_cassava","Mean_Observed_price_cassava","Mean_Observed_quantity_dodo","Mean_Observed_price_dodo","Mean_Observed_quantity_fish","Mean_Observed_price_fish","Mean_Observed_quantity_firewood","Mean_Observed_price_firewood","Mean_Observed_quantity_charcoal","Mean_Observed_price_charcoal","Median_Observed_quantity_cassava","Median_Observed_price_cassava","Median_Observed_quantity_dodo","Median_Observed_price_dodo","Median_Observed_quantity_fish","Median_Observed_price_fish","Median_Observed_quantity_firewood","Median_Observed_price_firewood","Median_Observed_quantity_charcoal","Median_Observed_price_charcoal","Max_Observed_quantity_cassava","Max_Observed_price_cassava","Max_Observed_quantity_dodo","Max_Observed_price_dodo","Max_Observed_quantity_fish","Max_Observed_price_fish","Max_Observed_quantity_firewood","Max_Observed_price_firewood","Max_Observed_quantity_charcoal","Max_Observed_price_charcoal","Min_Observed_quantity_cassava","Min_Observed_price_cassava","Min_Observed_quantity_dodo","Min_Observed_price_dodo","Min_Observed_quantity_fish","Min_Observed_price_fish","Min_Observed_quantity_firewood","Min_Observed_price_firewood","Min_Observed_quantity_charcoal","Min_Observed_price_charcoal"
"1","Adjumani","2019-10",0.216024689946929,0,0.0577350269189626,500,0.025,1500,1.15470053837925,0,0.0577350269189624,577.350269189626,1.6,1000,0.55,2750,0.3875,13250,17.3333333333333,5000,8.16666666666667,6333.33333333333,1.65,1000,0.55,3000,0.4,13000,18,5000,8.2,6000,1.8,1000,0.6,3000,0.4,15000,18,5000,8.2,7000,1.3,1000,0.5,2000,0.35,12000,16,5000,8.1,6000
"2","Adjumani","2019-11",0.35431019500674,0,0.117928549796658,458.062690656452,0.0231455024943138,1982.06241793023,NA,NA,NA,NA,1.5625,1000,0.5225,2312.5,0.3875,14750,NA,NA,NA,NA,1.6,1000,0.6,2000,0.4,15000,NA,NA,NA,NA,2.1,1000,0.6,3000,0.4,17000,-Inf,-Inf,-Inf,-Inf,1,1000,0.33,2000,0.35,12000,Inf,Inf,Inf,Inf
"3","Adjumani","2019-12",0.161834718742537,0,0.121498579258791,626.783170528009,0,1253.56634105602,NA,NA,NA,NA,1.35714285714286,1000,0.585714285714286,2857.14285714286,0.4,17285.7142857143,NA,NA,NA,NA,1.3,1000,0.6,3000,0.4,18000,NA,NA,NA,NA,1.6,1000,0.7,3500,0.4,18000,-Inf,-Inf,-Inf,-Inf,1.1,1000,0.4,2000,0.4,15000,Inf,Inf,Inf,Inf
"4","Adjumani","2020-1",0.258843582110896,516.397779494322,0.0547722557505166,1080.12344973464,0,1048.80884817015,NA,NA,NA,NA,1.35,1666.66666666667,0.65,3666.66666666667,0.4,14500,NA,NA,NA,NA,1.4,2000,0.65,3250,0.4,14500,NA,NA,NA,NA,1.7,2000,0.7,5000,0.4,16000,-Inf,-Inf,-Inf,-Inf,1,1000,0.6,2500,0.4,13000,Inf,Inf,Inf,Inf
"5","Arua/Rhino Camp","2019-10",0.351188458428425,577.350269189626,0.251661147842358,346.410161513775,0.0707106781186547,424.264068711929,572.760354191291,573.308817305298,0.2,0,3.13333333333333,1333.33333333333,0.966666666666667,600,0.25,4700,338.633333333333,669,1.8,1000,3.1,1000,1,400,0.25,4700,8.1,1000,1.8,1000,3.5,2000,1.2,1000,0.3,5000,1000,1000,2,1000,2.8,1000,0.7,400,0.2,4400,7.8,7,1.6,1000
"6","Arua/Rhino Camp","2019-11",0.886942313043338,377.964473009227,0.267261241912424,229.518128757995,0.0447213595499958,758.287544405155,NA,NA,NA,NA,3.1,1142.85714285714,0.9,612.5,0.38,5300,NA,NA,NA,NA,3.2,1000,1,550,0.4,5000,NA,NA,NA,NA,4.5,2000,1.2,1000,0.4,6500,-Inf,-Inf,-Inf,-Inf,2,1000,0.4,400,0.3,4500,Inf,Inf,Inf,Inf
"7","Arua/Rhino Camp","2019-12",1.83847763108502,707.106781186548,0.141421356237309,70.7106781186548,NA,NA,NA,NA,NA,NA,3.2,1500,0.5,550,NA,NA,NA,NA,NA,NA,3.2,1500,0.5,550,NA,NA,NA,NA,NA,NA,4.5,2000,0.6,600,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,1.9,1000,0.4,500,Inf,Inf,Inf,Inf,Inf,Inf
"8","Arua/Rhino Camp","2020-1",NA,NA,0,0,0,2753.78527364305,NA,NA,NA,NA,1,1000,1,600,1,5166.66666666667,NA,NA,NA,NA,1,1000,1,600,1,5000,NA,NA,NA,NA,1,1000,1,600,1,8000,-Inf,-Inf,-Inf,-Inf,1,1000,1,600,1,2500,Inf,Inf,Inf,Inf
"9","Arua/Rhino Camp","2020-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,1000,0.2,5000,NA,NA,NA,NA,NA,NA,0.3,1000,0.2,5000,NA,NA,NA,NA,-Inf,-Inf,0.3,1000,0.2,5000,-Inf,-Inf,-Inf,-Inf,Inf,Inf,0.3,1000,0.2,5000,Inf,Inf,Inf,Inf
"10","Arua/Rhino Camp","2020-3",1.06066017177982,0,NA,NA,0,2121.32034355964,0.754983443527075,0,0.305505046330389,0,2.75,1000,0.5,1000,0.2,2500,12.4,2000,1.86666666666667,1000,2.75,1000,0.5,1000,0.2,2500,12.5,2000,1.8,1000,3.5,1000,0.5,1000,0.2,4000,13.1,2000,2.2,1000,2,1000,0.5,1000,0.2,1000,11.6,2000,1.6,1000
