"","Regions","DISTRICT","settlement","period","price_maize_g","price_maize_f","price_millet_f","price_beans","price_sorghum","price_oil","price_cassava","price_salt","price_dodo","price_milk","price_soap","price_firewood","price_charcoal","price_fish","price_underwear","price_pads","price_NKP","price_DAP","price_malathion","collection_order","Mean_Observed_quantity_cassava","Mean_Observed_quantity_dodo","Mean_Observed_quantity_fish","Mean_Observed_quantity_firewood","Mean_Observed_quantity_charcoal","Median_Observed_quantity_cassava","Median_Observed_quantity_dodo","Median_Observed_quantity_fish","Median_Observed_quantity_firewood","Median_Observed_quantity_charcoal","Max_Observed_quantity_cassava","Max_Observed_quantity_dodo","Max_Observed_quantity_fish","Max_Observed_quantity_firewood","Max_Observed_quantity_charcoal","Min_Observed_quantity_cassava","Min_Observed_quantity_dodo","Min_Observed_quantity_fish","Min_Observed_quantity_firewood","Min_Observed_quantity_charcoal","price_cassava_kg_max","price_dodo_kg_max","price_fish_kg_max","price_firewood_kg_max","price_cassava_kg_min","price_dodo_kg_min","price_fish_kg_min","price_firewood_kg_min","price_cassava_kg_median","price_dodo_kg_median","price_fish_kg_median","price_firewood_kg_median","monthly_HH_cereals","monthly_HH_beans","monthly_HH_sorghum","monthly_HH_oil","monthly_HH_salt","monthly_HH_milk","FMEB_regular","monthly_HH_leaves_max","monthly_HH_fish_max","monthly_HH_cassava_max","FMEB_max","monthly_HH_cassava_min","monthly_HH_leaves_min","monthly_HH_fish_min","FMEB_min","monthly_HH_cassava_median","monthly_HH_leaves_median","monthly_HH_fish_median","FMEB_median"
"1","South West","Hoima","Kyangwali","Bi 2 - April",1000,3000,4000,3200,2000,7000,1000,2000,1000,2000,4000,2750,7750,18000,3000,3000,37500,40000,19000,2,1.36315789473684,0.889473684210526,0.877894736842105,3.36666666666667,0.92,1,1,1,3.025,0.92,5,1,1,7.1,1,1,0.23,0.11,1,0.84,200,1000,18000,387.323943661972,1000,4347.82608695652,163636.363636364,2750,1000,1000,18000,909.090909090909,43500,86400,15000,26250,1500,3000,179025,15000,54000,600,427050,3000,65217.3913043478,490909.090909091,434250,3000,15000,54000,254025
"2","South West","Hoima","Kyangwali","NA - 	March",600,2400,3600,3000,1300,6000,450,1800,1750,2000,4000,NA,NA,18500,NA,NA,NA,NA,NA,1,1.36315789473684,0.889473684210526,0.877894736842105,3.36666666666667,0.92,1,1,1,3.025,0.92,5,1,1,7.1,1,1,0.23,0.11,1,0.84,90,1750,18500,NA,450,7608.69565217391,168181.818181818,NA,450,1750,18500,NA,26100,81000,9750,22500,1350,3000,144600,26250,55500,270,372075,1350,114130.434782609,504545.454545455,373515,1350,26250,55500,228525
"3","South West","Isingiro","Nakivale","Bi 2 - April",1000,2000,3000,2500,1500,6000,1000,1100,1000,1000,3500,2000,8250,16000,2500,3000,NA,NA,NA,2,2.2,1.68571428571429,116.925833333333,NA,NA,2.4,1.8,0.4075,NA,NA,3.6,2.1,350,-Inf,-Inf,1,1.3,0.36,Inf,Inf,277.777777777778,476.190476190476,45.7142857142857,0,1000,769.230769230769,44444.4444444444,0,416.666666666667,555.555555555556,39263.8036809816,NA,43500,67500,11250,22500,825,1500,145500,7142.85714285714,137.142857142857,833.333333333333,298280,3000,11538.4615384615,133333.333333333,302113.333333333,1250,8333.33333333333,117791.411042945,272874.744376278
"4","South West","Isingiro","Nakivale","NA - 	March",800,2000,3600,3000,1500,5600,2000,2000,2000,1000,3500,NA,2000,16000,NA,3000,NA,NA,NA,1,2.2,1.68571428571429,116.925833333333,NA,NA,2.4,1.8,0.4075,NA,NA,3.6,2.1,350,-Inf,-Inf,1,1.3,0.36,Inf,Inf,555.555555555556,952.380952380952,45.7142857142857,NA,2000,1538.46153846154,44444.4444444444,NA,833.333333333333,1111.11111111111,39263.8036809816,NA,34800,81000,11250,21000,1500,1500,150075,14285.7142857143,137.142857142857,1666.66666666667,314572.857142857,6000,23076.9230769231,133333.333333333,322239.523809524,2500,16666.6666666667,117791.411042945,287033.077709611
"5","South West","Isingiro","Oruchinga","Bi 2 - April",1000,2000,4000,2800,1500,5500,1000,1500,1000,1000,4000,NA,10000,20000,3000,3000,NA,NA,NA,2,2.08461538461538,1.4,0.327,12,21.36,2.4,1.5,0.32,12,1.8,3.2,1.8,0.4,12,100,1,0.8,0.28,12,1,312.5,555.555555555556,50000,NA,1000,1250,71428.5714285714,NA,416.666666666667,666.666666666667,62500,NA,43500,75600,11250,20625,1125,1500,151725,8333.33333333333,150000,937.5,461783.333333333,3000,18750,214285.714285714,465720.833333333,1250,10000,187500,350475
"6","South West","Isingiro","Oruchinga","NA - 	March",800,2000,4000,2800,1500,6000,800,2000,1428.5714,1000,2500,NA,2000,20000,NA,3000,NA,NA,NA,1,2.08461538461538,1.4,0.327,12,21.36,2.4,1.5,0.32,12,1.8,3.2,1.8,0.4,12,100,1,0.8,0.28,12,1,250,793.650777777778,50000,NA,800,1785.71425,71428.5714285714,NA,333.333333333333,952.380933333333,62500,NA,34800,75600,11250,22500,1500,1500,145650,11904.7616666667,150000,750,465966.506666667,2400,26785.71375,214285.714285714,468995.352941667,1000,14285.714,187500,355633.33325
"7","South West","Kamwenge","Rwamwanja","Bi 2 - April",1000,2500,3500,3500,1700,6000,1000,1200,500,1000,3500,NA,7000,17500,NA,3000,NA,NA,NA,2,1.9,0.35,0.3,4,1.1,1.85,0.35,0.25,4,1.3,2.7,0.5,0.7,4,1.4,1.2,0.2,0.1,4,0.6,370.37037037037,1000,25000,NA,833.333333333333,2500,175000,NA,540.540540540541,1428.57142857143,70000,NA,43500,94500,12750,22500,900,1500,158250,15000,75000,1111.11111111111,406500,2500,37500,525000,410111.111111111,1621.62162162162,21428.5714285714,210000,391300.193050193
"8","South West","Kamwenge","Rwamwanja","NA - 	March",925,2000,2250,3250,1650,5625,583.33335,2800,1458.33335,1000,3000,NA,1000,20416.665,NA,3000,NA,NA,NA,1,1.9,0.35,0.3,4,1.1,1.85,0.35,0.25,4,1.3,2.7,0.5,0.7,4,1.4,1.2,0.2,0.1,4,0.6,216.049388888889,2916.6667,29166.6642857143,NA,486.111125,7291.66675,204166.65,NA,315.315324324324,4166.66671428571,81666.66,NA,40237.5,87750,12375,21093.75,2100,1500,165056.25,43750.0005,87499.9928571429,648.148166666667,461362.493357143,1458.333375,109375.00125,612499.95,463468.97489881,945.945972972973,62500.0007142857,244999.98,473502.176687259
"9","South West","Kiryandongo","Kiryandongo","Bi 2 - April",1200,2500,4000,4000,1200,7000,1000,1000,200,1800,4000,3000,10000,20000,NA,NA,NA,NA,NA,2,2.36666666666667,0.45,0.466666666666667,6,0.25,2.25,0.3,0.35,6,0.25,3,1,1,6,0.3,2,0.3,0.3,6,0.2,333.333333333333,200,20000,500,500,666.666666666667,66666.6666666667,500,444.444444444444,666.666666666667,57142.8571428571,500,52200,108000,9000,26250,750,2700,212250,3000,60000,1000,486000,1500,10000,2e+05,488500,1333.33333333333,10000,171428.571428571,393286.904761905
"10","South West","Kiryandongo","Kiryandongo","NA - 	March",1200,2400,4000,4000,1000,6000,434.7826,1400,3333.3333,1600,4000,2000,1000,20000,NA,3500,NA,NA,NA,1,2.36666666666667,0.45,0.466666666666667,6,0.25,2.25,0.3,0.35,6,0.25,3,1,1,6,0.3,2,0.3,0.3,6,0.2,144.927533333333,3333.3333,20000,333.333333333333,217.3913,11111.111,66666.6666666667,333.333333333333,193.236711111111,11111.111,57142.8571428571,333.333333333333,52200,108000,7500,22500,1050,2400,193650,49999.9995,60000,434.7826,497299.9995,652.1739,166666.665,2e+05,498490.47575,579.710133333333,166666.665,171428.571428571,532380.157095238
