"","Median_settlement","Date","Median_Median_Observed_quantity_cassava","Median_Median_Observed_price_cassava","Median_Median_Observed_quantity_dodo","Median_Median_Observed_price_dodo","Median_Median_Observed_quantity_fish","Median_Median_Observed_price_fish","Median_Median_Observed_quantity_firewood","Median_Median_Observed_price_firewood","Median_Median_Observed_quantity_charcoal","Median_Median_Observed_price_charcoal"
"1","Adjumani",NA,0.165201896679992,500,0.0408248290463862,554.338945652086,0,2096.62427090152,NA,NA,NA,NA
"2","Arua/Rhino Camp",NA,0.940744386111339,223.606797749979,0.318852107828483,254.296414970142,0.339852909359329,1092.24539367305,3.11126983722081,707.106781186548,0,0
"3","Bidibidi",NA,0.237521928812198,0,0.353464991194319,102.062072615966,0.253804386618251,816.496580927726,1.62890556304942,577.350269189626,0.401040313850532,288.675134594813
"4","Imvepi",NA,0.707106781186548,353.553390593274,0.29886451780029,260.768096208106,0.227646793300499,10062.3058987491,NA,NA,0.848528137423857,0
"5","Kiryandongo",NA,0.426223728418147,0,0.336650164612069,200,0.319830684373258,4725.81562625261,0,0,0.0707106781186547,0
"6","Koboko/Lobule",NA,0.131497781983829,500,0.249582985531199,125,0.0853912563829966,2560.72092713491,4.50924975282289,577.350269189626,0.404145188432738,264.575131106459
"7","Kyaka II",NA,0.386867763798777,204.124145231932,0.1,0,0.145272732013502,0,NA,NA,0.264575131106459,0
"8","Kyangwali",NA,0.608289952791156,238.222584991432,0.289856286229343,497.66119666563,0.318433666561813,7559.08393920851,2.86378246380552,424.264068711929,0.113137084989848,70.7106781186548
"9","Nakivale",NA,0.921502396451939,577.350269189626,0.270801280154532,0,201.848149303092,0,NA,NA,NA,NA
"10","Oruchinga",NA,0.898331787259028,447.213595499958,0.351188458428425,0,0.0251661147842358,0,NA,NA,56.9281418398083,577.350269189626
"11","Palabek",NA,0.646271356836017,0,0.0836660026534075,0,0.114367827643966,557.150488348226,2.61629509039023,0,0.0353553390593274,0
"12","Palorinya",NA,1.08247401816395,547.722557505166,0.274772633280682,206.559111797729,0.0605530070819498,1281.27540625217,6.51440711039769,1000,0.288675134594813,2886.75134594813
"13","Rwamwanja",NA,0.435028734683124,418.330013267038,0.15,288.675134594813,0.216217483104396,3344.77204006491,NA,NA,0.530330085889911,0
