settlement,Date,SD_Observed_quantity_cassava,SD_Observed_price_cassava,SD_Observed_quantity_dodo,SD_Observed_price_dodo,SD_Observed_quantity_fish,SD_Observed_price_fish,SD_Observed_quantity_firewood,SD_Observed_price_firewood,SD_Observed_quantity_charcoal,SD_Observed_price_charcoal,SD_Country
Adjumani,Oct-19,0.21602469,0,0.057735027,500,0.025,1500,1.154700538,0,0.057735027,577.3502692,
Adjumani,Nov-19,0.354310195,0,0.11792855,458.0626907,0.023145502,1982.062418,,,,,
Adjumani,Dec-19,0.161834719,0,0.121498579,626.7831705,0,1253.566341,,,,,
Adjumani,Jan-20,0.258843582,516.3977795,0.054772256,1080.12345,0,1048.808848,,,,,
Arua/Rhino Camp,Oct-19,0.351188458,577.3502692,0.251661148,346.4101615,0.070710678,424.2640687,572.7603542,573.3088173,0.2,0,
Arua/Rhino Camp,Nov-19,0.886942313,377.964473,0.267261242,229.5181288,0.04472136,758.2875444,,,,,
Arua/Rhino Camp,Dec-19,1.838477631,707.1067812,0.141421356,70.71067812,,,,,,,
Arua/Rhino Camp,Jan-20,,,0,0,0,2753.785274,,,,,
Arua/Rhino Camp,Feb-20,,,,,,,,,,,
Arua/Rhino Camp,Mar-20,1.060660172,0,,,0,2121.320344,0.754983444,0,0.305505046,0,
Bidibidi,Oct-19,0.565685425,0,0.2,115.4700538,0.1,2000,,,0.173205081,0,
Bidibidi,Nov-19,0.835246289,60.30226892,0.198746069,131.0216267,0.10304432,1521.36795,,,,,
Bidibidi,Dec-19,0.469337595,0,0.243014917,150,0.256900944,828.0786712,1.405850869,0,451.5157152,250,
Bidibidi,Jan-20,0.532929735,138.6750491,0.230506688,0,0.249937355,1069.044968,,,,,
Bidibidi,Feb-20,0.04472136,0,0.048795004,0,0.034156503,0,,,,,
Bidibidi,Mar-20,0.145732959,0,0.040311289,0,0.041403934,0,0.65748891,250,0.286356421,0,
Imvepi,Oct-19,,,0.510979452,0,0.01767767,0,,,0.707106781,0,
Imvepi,Nov-19,,707.1067812,241.4678699,257.2750983,0.203531324,1428.869017,,,,,
Imvepi,Dec-19,0,0,0.164011033,585.1332775,0.280416357,6833.739825,0,250,1.357080199,204.1241452,
Imvepi,Jan-20,,,,,,,,,,,
Imvepi,Feb-20,,,,,,31819.80515,,,,,
Kiryandongo,Nov-19,,,,,,,,,,,
Kiryandongo,Dec-20,,,,,,,,,,,
Kiryandongo,Feb-20,0.070710678,0,0.141421356,0,0.070710678,0,,,,,
